CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Mas_1_coche,Revisiones,Edad_Cliente,Tiempo
46512,1,5,0,2,1,3,0,1,1,43,1,0,0,2,1,3,0,2563,6911,0,7,54,0
46557,1,5,0,2,1,0,0,1,1,0,0,0,0,2,0,3,0,6191,17215,0,8,51,0
46857,1,5,0,2,1,3,0,1,1,43,0,0,0,0,0,3,0,2112,0,1,4,24,4
46924,1,5,0,2,1,0,0,1,1,32,0,0,0,2,0,1,0,2256,7052,0,6,52,0
46968,1,5,0,2,1,0,2,1,1,32,0,0,0,1,0,1,0,2256,22327,0,9,47,0
47024,1,5,0,2,1,0,0,1,1,48,1,0,0,1,1,2,1,2881,9685,0,4,62,0
47368,1,0,0,2,1,2,3,0,1,9,1,0,0,1,0,2,1,4177,10311,0,7,48,0
47579,1,0,0,2,1,0,0,1,1,52,0,0,0,1,1,2,1,3073,4205,0,5,40,0
47791,1,0,0,2,1,3,3,1,1,32,0,0,0,0,0,0,1,2294,12110,1,5,52,6
47968,1,0,0,2,1,0,3,1,1,4,0,0,0,0,0,0,0,1319,6752,0,6,48,0
48113,1,0,0,2,1,0,0,1,1,32,0,0,0,0,0,2,1,5437,22163,1,7,53,6
48246,1,0,0,2,1,0,0,0,1,8,0,0,0,0,1,2,1,7645,20640,0,4,39,0
48935,1,0,0,0,1,3,3,1,1,43,1,0,0,0,0,2,1,2412,6135,1,9,60,5
49002,1,0,0,0,1,0,1,1,1,8,0,0,0,4,0,3,0,1809,0,0,7,52,0
49235,1,0,1,2,1,2,0,0,1,48,0,0,0,2,1,0,0,7339,21930,1,8,52,8
49401,1,0,1,2,1,0,0,0,1,52,0,0,0,2,0,2,1,4453,18727,0,7,54,0
49468,1,0,1,2,1,0,0,1,1,8,0,0,0,0,0,2,1,4545,0,0,7,44,0
49557,1,0,1,2,1,0,3,1,1,45,0,0,0,2,0,2,1,3073,9948,0,7,57,0
49590,1,0,1,2,1,3,4,2,1,43,0,0,0,4,0,2,1,2561,8643,0,5,50,0
49890,1,0,1,2,1,0,4,2,1,32,0,0,0,4,0,2,1,4525,0,0,8,52,0
49912,1,0,1,2,1,0,0,0,1,33,1,0,0,0,0,2,1,4893,14762,0,5,44,0
50412,1,0,1,2,1,3,2,1,1,43,0,0,0,1,0,2,1,4453,17495,0,4,40,0
50501,1,0,1,2,1,3,0,1,1,43,1,0,0,2,1,2,1,0,10623,0,9,46,0
50801,1,0,1,2,1,3,3,1,1,21,0,0,0,1,1,1,1,3575,21556,0,8,49,0
50823,1,0,1,2,1,0,0,0,1,12,0,0,0,1,1,2,1,4431,3924,0,7,43,0
50845,1,0,1,2,1,3,0,0,1,12,0,0,0,2,0,0,1,3513,9897,0,7,54,0
51045,1,0,1,2,1,0,0,1,1,29,0,0,0,2,1,2,1,3513,12080,0,4,46,0
51201,1,0,1,2,1,0,3,0,1,32,0,0,0,1,1,2,1,5884,12137,0,7,40,0
51679,1,0,1,2,1,0,3,1,1,1,0,0,0,2,0,2,1,4431,19075,0,4,58,0
51878,1,0,1,2,1,0,0,0,1,8,0,0,0,0,1,2,1,5454,19194,0,5,40,0
51901,1,0,1,2,1,0,3,1,1,9,1,0,0,2,0,0,0,5421,17930,0,7,41,0
52446,1,0,1,2,1,0,3,1,1,43,0,0,0,1,0,2,1,3726,12266,0,4,53,0
52457,1,0,1,2,1,0,0,0,1,33,0,0,0,2,0,1,0,5454,15488,0,9,43,0
52479,1,0,1,2,1,0,3,1,1,20,0,0,0,4,1,0,0,5454,10478,0,4,38,0
52734,1,0,1,2,1,0,3,1,1,1,0,1,0,2,0,0,0,4869,16852,0,5,65,0
52823,1,0,1,2,1,0,3,1,1,48,0,0,0,2,0,3,0,1926,14092,0,9,45,0
53045,1,0,1,2,1,3,3,1,1,32,0,0,0,0,1,1,0,1144,10803,1,8,43,5
53167,1,0,1,2,1,3,0,0,1,7,1,0,0,1,1,2,1,7132,32325,1,9,38,9
53393,1,0,1,2,1,0,0,1,1,1,0,0,0,0,1,2,1,3371,8762,1,4,41,7
53434,1,0,1,2,1,0,3,0,1,8,1,0,0,0,0,3,0,1788,20949,1,6,38,8
53481,1,0,1,2,1,0,0,1,1,45,0,0,0,2,0,2,1,2287,10003,0,6,59,0
53500,1,0,1,2,1,0,0,1,1,47,0,0,0,2,0,0,0,5501,31981,0,4,43,0
53502,1,0,1,2,1,3,3,1,1,6,0,0,0,2,1,1,0,2287,17600,0,8,42,0
53510,1,0,1,2,1,0,0,1,1,8,0,0,0,2,1,0,0,3373,18100,0,4,44,0
53527,1,0,1,2,1,0,0,1,1,39,0,0,0,4,1,2,1,1972,14369,0,8,45,0
53535,1,0,1,2,1,0,3,1,1,30,0,0,0,4,0,0,0,1144,0,0,6,25,0
53546,1,0,1,2,1,0,0,1,1,25,0,0,0,1,0,0,0,3010,11104,0,9,46,0
53576,1,0,1,2,1,0,3,1,1,39,0,0,0,0,0,1,0,2156,13055,1,5,46,6
53593,1,0,1,2,1,0,3,1,1,11,0,0,0,2,0,1,1,3299,23044,0,7,46,0
53643,1,0,1,2,1,0,3,0,1,20,0,0,0,2,1,2,1,2524,19928,0,4,54,0
53650,1,0,1,2,1,0,0,0,1,8,0,0,0,0,0,2,1,3299,13815,0,8,56,0
53703,1,0,1,2,1,0,1,1,1,8,0,0,0,0,0,2,1,3667,15527,0,6,50,0
